model,condition,target_rule,n_trials,accuracy,choice_color_share,choice_shape_share,choice_number_share
claude-opus-4-8,RawLLM,color,1557,1.0,1.0,0.0,0.0
claude-opus-4-8,RawLLM,shape,1582,0.0,1.0,0.0,0.0
claude-opus-4-8,RawLLM,number,1541,0.0,1.0,0.0,0.0
claude-opus-4-8,RuleBlindFull,color,1557,0.982017,0.982017,0.008992,0.008992
claude-opus-4-8,RuleBlindFull,shape,1582,0.214286,0.686473,0.214286,0.099241
claude-opus-4-8,RuleBlindFull,number,1541,0.175211,0.670344,0.154445,0.175211
claude-opus-4-8,NoVeto,color,1557,0.99422,0.99422,0.001927,0.003854
claude-opus-4-8,NoVeto,shape,1582,0.074589,0.831858,0.074589,0.093552
claude-opus-4-8,NoVeto,number,1541,0.031149,0.829332,0.13952,0.031149
claude-opus-4-8,TrajectoryOnly,color,1557,0.827874,0.827874,0.093128,0.078998
claude-opus-4-8,TrajectoryOnly,shape,1582,0.075221,0.832491,0.075221,0.092288
claude-opus-4-8,TrajectoryOnly,number,1541,0.07852,0.839714,0.081765,0.07852
claude-opus-4-8,YokedRandom,color,1557,0.982017,0.982017,0.010276,0.007707
claude-opus-4-8,YokedRandom,shape,1582,0.154235,0.686473,0.154235,0.159292
claude-opus-4-8,YokedRandom,number,1541,0.162232,0.670344,0.167424,0.162232
claude-opus-4-8,WSLSBudgeted,color,1557,0.941554,0.941554,0.021195,0.037251
claude-opus-4-8,WSLSBudgeted,shape,1582,0.305942,0.671302,0.305942,0.022756
claude-opus-4-8,WSLSBudgeted,number,1541,0.226476,0.699546,0.073978,0.226476
claude-opus-4-8,WSLSUnlimited,color,1557,0.868979,0.868979,0.044958,0.086063
claude-opus-4-8,WSLSUnlimited,shape,1582,0.520228,0.435525,0.520228,0.044248
claude-opus-4-8,WSLSUnlimited,number,1541,0.461389,0.427644,0.110967,0.461389
claude-opus-4-8,OracleFull,color,1557,1.0,1.0,0.0,0.0
claude-opus-4-8,OracleFull,shape,1582,0.432996,0.567004,0.432996,0.0
claude-opus-4-8,OracleFull,number,1541,0.433485,0.566515,0.0,0.433485
claude-sonnet-5,RawLLM,color,1557,0.989082,0.994832,0.0,0.005168
claude-sonnet-5,RawLLM,shape,1582,0.000632,0.991741,0.000635,0.007624
claude-sonnet-5,RawLLM,number,1541,0.003894,0.996089,0.0,0.003911
claude-sonnet-5,RuleBlindFull,color,1557,0.971098,0.976744,0.009044,0.014212
claude-sonnet-5,RuleBlindFull,shape,1582,0.217446,0.677891,0.218551,0.103558
claude-sonnet-5,RuleBlindFull,number,1541,0.179104,0.664276,0.155802,0.179922
claude-sonnet-5,NoVeto,color,1557,0.983301,0.989018,0.001938,0.009044
claude-sonnet-5,NoVeto,shape,1582,0.07775,0.822745,0.078145,0.099111
claude-sonnet-5,NoVeto,number,1541,0.032446,0.825293,0.142112,0.032595
claude-sonnet-5,TrajectoryOnly,color,1557,0.827874,0.832687,0.093669,0.073643
claude-sonnet-5,TrajectoryOnly,shape,1582,0.073325,0.83418,0.073698,0.092122
claude-sonnet-5,TrajectoryOnly,number,1541,0.07268,0.842243,0.084746,0.073012
claude-sonnet-5,YokedRandom,color,1557,0.971098,0.976744,0.010336,0.01292
claude-sonnet-5,YokedRandom,shape,1582,0.151707,0.677891,0.152478,0.169632
claude-sonnet-5,YokedRandom,number,1541,0.165477,0.664276,0.169492,0.166232
claude-sonnet-5,WSLSBudgeted,color,1557,0.935774,0.941214,0.020672,0.038114
claude-sonnet-5,WSLSBudgeted,shape,1582,0.30531,0.662643,0.306861,0.030496
claude-sonnet-5,WSLSBudgeted,number,1541,0.234263,0.691004,0.073664,0.235332
claude-sonnet-5,WSLSUnlimited,color,1557,0.859345,0.864341,0.047804,0.087855
claude-sonnet-5,WSLSUnlimited,shape,1582,0.525917,0.42122,0.52859,0.050191
claude-sonnet-5,WSLSUnlimited,number,1541,0.47891,0.40678,0.112125,0.481095
claude-sonnet-5,OracleFull,color,1557,0.991008,0.99677,0.0,0.00323
claude-sonnet-5,OracleFull,shape,1582,0.424147,0.567344,0.426302,0.006353
claude-sonnet-5,OracleFull,number,1541,0.431538,0.566493,0.0,0.433507
gpt-5.5-2026-04-23,RawLLM,color,1557,0.862556,0.862556,0.021195,0.116249
gpt-5.5-2026-04-23,RawLLM,shape,1582,0.021492,0.867257,0.021492,0.111252
gpt-5.5-2026-04-23,RawLLM,number,1541,0.110318,0.874757,0.014925,0.110318
gpt-5.5-2026-04-23,RuleBlindFull,color,1557,0.849711,0.849711,0.039178,0.111111
gpt-5.5-2026-04-23,RuleBlindFull,shape,1582,0.240834,0.599241,0.240834,0.159924
gpt-5.5-2026-04-23,RuleBlindFull,number,1541,0.278391,0.576249,0.14536,0.278391
gpt-5.5-2026-04-23,NoVeto,color,1557,0.863841,0.863841,0.029544,0.106615
gpt-5.5-2026-04-23,NoVeto,shape,1582,0.111252,0.724399,0.111252,0.164349
gpt-5.5-2026-04-23,NoVeto,number,1541,0.160286,0.717067,0.122648,0.160286
gpt-5.5-2026-04-23,TrajectoryOnly,color,1557,0.775851,0.775851,0.078356,0.145793
gpt-5.5-2026-04-23,TrajectoryOnly,shape,1582,0.08091,0.780657,0.08091,0.138432
gpt-5.5-2026-04-23,TrajectoryOnly,number,1541,0.142116,0.776768,0.081116,0.142116
gpt-5.5-2026-04-23,YokedRandom,color,1557,0.847142,0.847142,0.043031,0.109827
gpt-5.5-2026-04-23,YokedRandom,shape,1582,0.171302,0.606195,0.171302,0.222503
gpt-5.5-2026-04-23,YokedRandom,number,1541,0.251785,0.580143,0.168073,0.251785
gpt-5.5-2026-04-23,WSLSBudgeted,color,1557,0.852922,0.852922,0.044958,0.102119
gpt-5.5-2026-04-23,WSLSBudgeted,shape,1582,0.292035,0.603666,0.292035,0.104298
gpt-5.5-2026-04-23,WSLSBudgeted,number,1541,0.332252,0.604802,0.062946,0.332252
gpt-5.5-2026-04-23,WSLSUnlimited,color,1557,0.813102,0.813102,0.078356,0.108542
gpt-5.5-2026-04-23,WSLSUnlimited,shape,1582,0.601138,0.300885,0.601138,0.097977
gpt-5.5-2026-04-23,WSLSUnlimited,number,1541,0.619079,0.271901,0.10902,0.619079
gpt-5.5-2026-04-23,OracleFull,color,1557,0.890816,0.890816,0.017341,0.091843
gpt-5.5-2026-04-23,OracleFull,shape,1582,0.387484,0.525917,0.387484,0.086599
gpt-5.5-2026-04-23,OracleFull,number,1541,0.469176,0.52109,0.009734,0.469176
gpt-5.4-mini-2026-03-17,RawLLM,color,1557,0.55106,0.55106,0.014772,0.434168
gpt-5.4-mini-2026-03-17,RawLLM,shape,1582,0.019595,0.547408,0.019595,0.432996
gpt-5.4-mini-2026-03-17,RawLLM,number,1541,0.416613,0.552888,0.0305,0.416613
gpt-5.4-mini-2026-03-17,RuleBlindFull,color,1557,0.595376,0.595376,0.067437,0.337187
gpt-5.4-mini-2026-03-17,RuleBlindFull,shape,1582,0.255373,0.414033,0.255373,0.330594
gpt-5.4-mini-2026-03-17,RuleBlindFull,number,1541,0.482154,0.412719,0.105127,0.482154
gpt-5.4-mini-2026-03-17,NoVeto,color,1557,0.587026,0.587026,0.044316,0.368658
gpt-5.4-mini-2026-03-17,NoVeto,shape,1582,0.10493,0.497472,0.10493,0.397598
gpt-5.4-mini-2026-03-17,NoVeto,number,1541,0.447112,0.473718,0.079169,0.447112
gpt-5.4-mini-2026-03-17,TrajectoryOnly,color,1557,0.540141,0.540141,0.029544,0.430315
gpt-5.4-mini-2026-03-17,TrajectoryOnly,shape,1582,0.030973,0.537927,0.030973,0.4311
gpt-5.4-mini-2026-03-17,TrajectoryOnly,number,1541,0.415315,0.542505,0.04218,0.415315
gpt-5.4-mini-2026-03-17,YokedRandom,color,1557,0.57675,0.57675,0.083494,0.339756
gpt-5.4-mini-2026-03-17,YokedRandom,shape,1582,0.168774,0.446903,0.168774,0.384324
gpt-5.4-mini-2026-03-17,YokedRandom,number,1541,0.456846,0.416613,0.126541,0.456846
gpt-5.4-mini-2026-03-17,WSLSBudgeted,color,1557,0.653821,0.653821,0.043031,0.303147
gpt-5.4-mini-2026-03-17,WSLSBudgeted,shape,1582,0.277497,0.405815,0.277497,0.316688
gpt-5.4-mini-2026-03-17,WSLSBudgeted,number,1541,0.561324,0.37573,0.062946,0.561324
gpt-5.4-mini-2026-03-17,WSLSUnlimited,color,1557,0.779705,0.779705,0.086705,0.13359
gpt-5.4-mini-2026-03-17,WSLSUnlimited,shape,1582,0.648546,0.199747,0.648546,0.151707
gpt-5.4-mini-2026-03-17,WSLSUnlimited,number,1541,0.737833,0.153796,0.108371,0.737833
gpt-5.4-mini-2026-03-17,OracleFull,color,1557,0.679512,0.679512,0.011561,0.308927
gpt-5.4-mini-2026-03-17,OracleFull,shape,1582,0.300253,0.382427,0.300253,0.31732
gpt-5.4-mini-2026-03-17,OracleFull,number,1541,0.597664,0.380273,0.022064,0.597664
