n_reps,attenuation,test,power
60,1.0,RuleBlindFull|RawLLM|total_accuracy,1.0
60,1.0,WSLSBudgeted|RawLLM|total_accuracy,1.0
60,1.0,WSLSBudgeted|RuleBlindFull|total_accuracy,1.0
60,1.0,RuleBlindFull|WSLSBudgeted|prev_rule_error_count,0.995
60,0.5,RuleBlindFull|RawLLM|total_accuracy,1.0
60,0.5,WSLSBudgeted|RawLLM|total_accuracy,1.0
60,0.5,WSLSBudgeted|RuleBlindFull|total_accuracy,0.97
60,0.5,RuleBlindFull|WSLSBudgeted|prev_rule_error_count,0.627
60,0.333,RuleBlindFull|RawLLM|total_accuracy,1.0
60,0.333,WSLSBudgeted|RawLLM|total_accuracy,1.0
60,0.333,WSLSBudgeted|RuleBlindFull|total_accuracy,0.625
60,0.333,RuleBlindFull|WSLSBudgeted|prev_rule_error_count,0.282
130,1.0,RuleBlindFull|RawLLM|total_accuracy,1.0
130,1.0,WSLSBudgeted|RawLLM|total_accuracy,1.0
130,1.0,WSLSBudgeted|RuleBlindFull|total_accuracy,1.0
130,1.0,RuleBlindFull|WSLSBudgeted|prev_rule_error_count,1.0
130,0.5,RuleBlindFull|RawLLM|total_accuracy,1.0
130,0.5,WSLSBudgeted|RawLLM|total_accuracy,1.0
130,0.5,WSLSBudgeted|RuleBlindFull|total_accuracy,1.0
130,0.5,RuleBlindFull|WSLSBudgeted|prev_rule_error_count,0.915
130,0.333,RuleBlindFull|RawLLM|total_accuracy,1.0
130,0.333,WSLSBudgeted|RawLLM|total_accuracy,1.0
130,0.333,WSLSBudgeted|RuleBlindFull|total_accuracy,0.968
130,0.333,RuleBlindFull|WSLSBudgeted|prev_rule_error_count,0.615
